order_id,customer_id,order_date,order_status,order_channel,shipping_city,shipping_state,shipping_fee,order_subtotal,order_total
700000,100438,2025-11-09 16:03:23,Delivered,Website,Delhi,Delhi,0.0,5729.43,5729.43
700001,100568,2024-01-26 17:25:29,Delivered,Website,Chennai,Tamil Nadu,0.0,11589.47,11589.47
700002,100744,2025-04-10 14:12:17,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,101634.9,101634.9
700003,101015,2024-04-05 18:48:12,Delivered,Mobile App,Coimbatore,Tamil Nadu,0.0,3203.87,3203.87
700004,100393,2025-12-06 19:14:58,Cancelled,Mobile App,Bhopal,Madhya Pradesh,0.0,15545.82,15545.82
700005,101939,2023-06-21 20:54:37,Delivered,Mobile App,Surat,Gujarat,0.0,161316.34,161316.34
700006,102823,2024-10-12 13:22:42,Delivered,Mobile App,Mumbai,Maharashtra,0.0,3945.6,3945.6
700007,102026,2024-08-02 23:04:26,Returned,Website,Ahmedabad,Gujarat,0.0,926.36,926.36
700008,101160,2024-03-18 15:07:22,Delivered,Mobile App,Delhi,Delhi,0.0,211436.63,211436.63
700009,101029,2025-02-15 16:40:00,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,5982.22,5982.22
700010,100400,2023-08-08 20:35:06,Delivered,Mobile App,Lucknow,Uttar Pradesh,0.0,302455.63,302455.63
700011,102412,2025-05-10 19:04:08,Delivered,Website,Nagpur,Maharashtra,0.0,128629.2,128629.2
700012,100337,2025-12-20 16:43:43,Processing,Mobile App,Pune,Maharashtra,0.0,6125.72,6125.72
700013,102412,2025-08-11 17:39:54,Delivered,Mobile Web,Surat,Gujarat,0.0,2948.7,2948.7
700014,101916,2025-10-05 19:46:57,Processing,Mobile App,Hyderabad,Telangana,0.0,7936.45,7936.45
700015,102360,2024-05-05 18:22:36,Delivered,Mobile App,Mumbai,Maharashtra,0.0,3075.1,3075.1
700016,102052,2024-03-16 14:55:10,Delivered,Mobile App,Faridabad,Haryana,0.0,17550.88,17550.88
700017,100569,2024-10-22 23:52:16,Cancelled,Mobile App,Ahmedabad,Gujarat,0.0,8759.41,8759.41
700018,102412,2023-03-22 17:24:57,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,4545.06,4545.06
700019,101739,2025-11-14 23:22:07,Delivered,Mobile App,Delhi,Delhi,0.0,11665.2,11665.2
700020,101494,2023-08-24 23:33:12,Delivered,Mobile App,Chandigarh,Chandigarh,0.0,103117.08,103117.08
700021,102491,2025-10-25 18:18:21,Processing,Mobile App,Bengaluru,Karnataka,0.0,12989.11,12989.11
700022,102412,2023-05-23 13:02:51,Processing,Website,Guwahati,Assam,0.0,833.72,833.72
700023,100673,2025-08-29 13:40:05,Delivered,Mobile App,Coimbatore,Tamil Nadu,0.0,111118.6,111118.6
700024,100987,2023-09-07 14:06:05,Delivered,Mobile App,Bhopal,Madhya Pradesh,0.0,2527.93,2527.93
700025,102516,2023-03-07 16:22:53,Delivered,Website,Patna,Bihar,0.0,203736.84,203736.84
700026,100803,2025-05-13 21:44:29,Delivered,Mobile App,Delhi,Delhi,0.0,325780.29,325780.29
700027,102260,2024-01-16 18:30:11,Delivered,Mobile App,Chandigarh,Chandigarh,0.0,16866.32,16866.32
700028,100480,2025-05-08 23:26:29,Shipped,Mobile App,Kolkata,West Bengal,0.0,4213.12,4213.12
700029,100969,2024-11-12 23:06:53,Delivered,Website,Ahmedabad,Gujarat,0.0,5488.57,5488.57
700030,100950,2023-07-03 16:53:30,Delivered,Website,Patna,Bihar,0.0,123013.98,123013.98
700031,101925,2025-11-08 09:48:55,Delivered,Mobile App,Chennai,Tamil Nadu,0.0,16844.22,16844.22
700032,100533,2024-08-27 19:06:11,Processing,Mobile App,Indore,Madhya Pradesh,0.0,71418.15,71418.15
